"No.","Time","Source","Destination","Protocol","Length","Info"
"146","0.385487","192.168.1.12","159.180.236.246","TLSv1.2","775","Application Data"
"147","0.385661","192.168.1.12","159.180.236.246","TLSv1.2","245","Application Data"
"148","0.394060","159.180.236.246","192.168.1.12","TCP","60","4443  >  49018 [ACK] Seq=18214 Ack=49922 Win=1025 Len=0"
"149","0.394060","159.180.236.246","192.168.1.12","TCP","60","4443  >  49018 [ACK] Seq=18214 Ack=52770 Win=1025 Len=0"
"150","0.394060","159.180.236.246","192.168.1.12","TCP","60","4443  >  49018 [ACK] Seq=18214 Ack=53682 Win=1025 Len=0"
"151","0.394060","159.180.236.246","192.168.1.12","TLSv1.2","126","Application Data"
"152","0.398746","159.180.236.246","192.168.1.12","TLSv1.2","475","Application Data"
"153","0.398823","192.168.1.12","159.180.236.246","TCP","54","49018  >  4443 [ACK] Seq=53682 Ack=18707 Win=8210 Len=0"
"154","0.400450","192.168.1.12","159.180.236.246","TLSv1.2","235","Application Data"
"155","0.402384","159.180.236.246","192.168.1.12","TLSv1.2","1429","Application Data"
"156","0.402384","159.180.236.246","192.168.1.12","TLSv1.2","332","Application Data"
"157","0.402488","192.168.1.12","159.180.236.246","TCP","54","49018  >  4443 [ACK] Seq=53863 Ack=20360 Win=8212 Len=0"
"158","0.402678","192.168.1.12","159.180.236.246","TLSv1.2","126","Application Data"
"159","0.410040","192.168.1.24","224.0.0.251","MDNS","506","Standard query response 0x0000 PTR, cache flush Android-3.local PTR, cache flush Android-3.local PTR, cache flush Android-3.local PTR, cache flush Android-3.local A, cache flush 192.168.1.24 AAAA, cache flush fe80::ca6c:3dff:fed8:b697 AAAA, cache flush 2001:861:8b90:b750:ca6c:3dff:fed8:b697 AAAA, cache flush 2001:861:8b90:b750:3d28:3b5b:50c4:75f2 NSEC, cache flush 24.1.168.192.in-addr.arpa NSEC, cache flush 7.9.6.B.8.D.E.F.F.F.D.3.C.6.A.C.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush 7.9.6.B.8.D.E.F.F.F.D.3.C.6.A.C.0.5.7.B.0.9.B.8.1.6.8.0.1.0.0.2.ip6.arpa NSEC, cache flush 2.F.5.7.4.C.0.5.B.5.B.3.8.2.D.3.0.5.7.B.0.9.B.8.1.6.8.0.1.0.0.2.ip6.arpa NSEC, cache flush Android-3.local"
